id|course_id|grade
6|8|8
6|8|8.5
6|8|2.5
6|8|7.5
6|8|7.5
6|8|7.5
6|8|5
6|8|6.5
6|4|19.1
6|4|11.1
6|4|10.5
6|4|10.4
6|3|13
6|3|9.5
6|3|8.5
6|3|14
6|3|7.5
6|3|9.5
6|7|7
6|7|9
6|7|8.5
6|7|4
6|7|5
6|7|9
6|7|7
6|7|5
6|9|10.75
6|9|10.75
6|9|11
6|9|11.75
6|9|9.75
6|9|14.75
6|9|12.75
6|9|9
6|5|8
6|5|6.5
6|5|9.5
6|5|7.5
6|10|6.5
6|10|10.5
6|10|7.5
6|10|9.5
6|10|8.5
6|10|10.5
6|10|11.5
6|10|8.5
6|10|9.5
6|6|9.3
6|6|13
6|6|15.6
6|6|10.8
6|6|12
6|6|14
6|6|11.1
6|1|15
6|1|8.5
6|1|11
6|1|10.5
6|2|15
6|2|15
6|2|12
6|2|13
6|2|12
6|2|9
6|2|12
6|2|12
6|2|14
6|2|15
123|8|5.5
123|8|6.5
123|8|9.5
123|8|10.5
123|8|2
123|8|6.5
123|8|4
123|8|5
123|4|17.9
123|4|8.3
123|4|7.8
123|4|13.9
123|3|8.5
123|3|15.5
123|3|14.5
123|3|15
123|3|12
123|3|11
123|7|13.5
123|7|2
123|7|1.5
123|7|8
123|7|1.5
123|7|1.5
123|7|7
123|7|7
123|9|12.75
123|9|14.25
123|9|13
123|9|10.75
123|9|10.25
123|9|_
123|9|13.25
123|9|8.75
123|9|11
123|5|9.5
123|5|8
123|5|9.5
123|5|8.5
123|10|6.5
123|10|10.5
123|10|8
123|10|11
123|10|8
123|10|10.5
123|10|13
123|10|12
123|6|16.4
123|6|14
123|6|10.1
123|6|9.1
123|6|7.6
123|6|13
123|6|13.8
123|1|11.5
123|1|15
123|1|10.5
123|1|7.5
123|2|15
123|2|11
123|2|10
123|2|14
123|2|8
123|2|14
123|2|9
123|2|12
123|2|11
123|2|13
156|8|12
156|8|5.5
156|8|8.5
156|8|10
156|8|7
156|8|6.5
156|8|5.5
156|8|10
156|8|9
156|4|14.4
156|4|18.7
156|4|9.1
156|4|11.1
156|3|10.5
156|3|_
156|3|10.5
156|3|10.5
156|3|11
156|3|17.5
156|7|7
156|7|7.5
156|7|12.5
156|7|8.5
156|7|12
156|7|8.5
156|7|2.5
156|7|9
156|9|10
156|9|10.5
156|9|13.5
156|9|11.75
156|9|12.75
156|9|12.75
156|9|10.5
156|9|12.25
156|9|15.75
156|5|9
156|5|7.5
156|5|9
156|5|9
156|10|8.5
156|10|11
156|10|7.5
156|10|10
156|10|6.5
156|10|9
156|10|12.5
156|10|9
156|6|13.3
156|6|11.7
156|6|15.1
156|6|15.5
156|6|9.8
156|6|12.5
156|1|11.5
156|1|_
156|1|13
156|1|9
156|2|13
156|2|11
156|2|12
156|2|15
156|2|14
156|2|10
156|2|16
156|2|15
156|2|14
156|2|16
166|8|9.5
166|8|4
166|8|9
166|8|8
166|8|8.5
166|8|4.5
166|8|5
166|8|10.5
166|8|6.5
166|4|8.1
166|4|14.2
166|4|14
166|4|17.7
166|3|14
166|3|_
166|3|8
166|3|11.5
166|3|11
166|3|16
166|7|4.5
166|7|9.5
166|7|5.5
166|7|8.5
166|7|10
166|7|7
166|7|13
166|7|11.5
166|9|11.25
166|9|9.25
166|9|13
166|9|14.5
166|9|9
166|9|8.75
166|9|7
166|9|12.5
166|9|13.25
166|5|9
166|5|7.5
166|5|8
166|5|8
166|10|9
166|10|8.5
166|10|8
166|10|9.5
166|10|10
166|10|6.5
166|10|5
166|10|10
166|10|11.5
166|6|19.4
166|6|14.9
166|6|14.8
166|6|10.9
166|6|9.1
166|6|14
166|6|16.3
166|1|9
166|1|11
166|1|14.5
166|1|11
166|2|16
166|2|18
166|2|17
166|2|11
166|2|17
166|2|14
166|2|12
166|2|13
166|2|11
166|2|12
189|8|6.5
189|8|8.5
189|8|7.5
189|8|12
189|8|4
189|8|3
189|8|5.5
189|8|8
189|8|8
189|4|13.6
189|4|3.9
189|4|10.1
189|4|19.8
189|3|16
189|3|14.5
189|3|11
189|3|14
189|3|8.5
189|7|1
189|7|5
189|7|2
189|7|6.5
189|7|3.5
189|7|10.5
189|7|3
189|7|7.5
189|9|11.75
189|9|9.5
189|9|12.75
189|9|11.5
189|9|12.5
189|9|16
189|9|10.25
189|9|13.75
189|9|10.25
189|5|6.5
189|5|8.5
189|5|9.5
189|10|9.5
189|10|11.5
189|10|8.5
189|10|11
189|10|8.5
189|10|9.5
189|10|10.5
189|10|9
189|10|11
189|6|20
189|6|7.3
189|6|15.7
189|6|16.1
189|6|8.6
189|6|16.6
189|6|9.6
189|1|13.5
189|1|8.5
189|1|11.5
189|1|8.5
189|2|17
189|2|10
189|2|12
189|2|16
189|2|13
189|2|12
189|2|10
189|2|11
189|2|8
189|2|16
218|8|12.5
218|8|10
218|8|7
218|8|7.5
218|8|9
218|8|5
218|8|9
218|8|5.5
218|8|7.5
218|4|13.4
218|4|11
218|4|14.1
218|4|14.5
218|3|19.5
218|3|11.5
218|3|10
218|3|10.5
218|3|14.5
218|3|7.5
218|7|6
218|7|9
218|7|9.5
218|7|7.5
218|7|6
218|7|7.5
218|7|11.5
218|7|7.5
218|9|8.5
218|9|10
218|9|12
218|9|10.75
218|9|10.75
218|9|13
218|9|11
218|9|12.5
218|5|8
218|5|8
218|5|6
218|5|9
218|10|7.5
218|10|8.5
218|10|11
218|10|12
218|10|8.5
218|10|9.5
218|10|10
218|10|11
218|6|17.7
218|6|16.5
218|6|13.5
218|6|9.5
218|6|8.9
218|1|9.5
218|1|10.5
218|1|11.5
218|1|9
218|2|13
218|2|15
218|2|12
218|2|8
218|2|17
218|2|16
218|2|11
218|2|11
218|2|13
218|2|11
225|8|8
225|8|7.5
225|8|8.5
225|8|6
225|8|5
225|8|7
225|8|8
225|8|7.5
225|8|8
225|4|15.8
225|4|4.4
225|4|15.1
225|4|4.3
225|3|7.5
225|3|10
225|3|11.5
225|3|13
225|3|17
225|3|14
225|7|6
225|7|7.5
225|7|9.5
225|7|5
225|7|6
225|7|3
225|7|8.5
225|7|9
225|9|10.25
225|9|14
225|9|10.5
225|9|14
225|9|10.25
225|9|10
225|9|13
225|9|_
225|9|8.75
225|5|9
225|5|7
225|5|8
225|10|10
225|10|7
225|10|8
225|10|11.5
225|10|10.5
225|10|7.5
225|10|8.5
225|10|8
225|10|12.5
225|6|13.5
225|6|17.2
225|6|14.5
225|6|12.8
225|6|13.1
225|6|11.6
225|6|12.3
225|1|4.5
225|1|11
225|1|13
225|1|11.5
225|2|14
225|2|14
225|2|14
225|2|10
225|2|13
225|2|12
225|2|13
225|2|11
225|2|13
225|2|12
228|8|6.5
228|8|11
228|8|9
228|8|5.5
228|8|10.5
228|8|7.5
228|8|10
228|8|6.5
228|8|7.5
228|4|11.9
228|4|11.3
228|4|11.6
228|4|10.1
228|3|6.5
228|3|12
228|3|9
228|3|8
228|3|15
228|3|16
228|7|3
228|7|9
228|7|4
228|7|9
228|7|6.5
228|7|17
228|7|9
228|9|12.5
228|9|10
228|9|9.25
228|9|11.5
228|9|10.25
228|9|9.25
228|9|17.75
228|9|11.5
228|9|10.5
228|5|9
228|5|7
228|5|9.5
228|5|10
228|10|9.5
228|10|9.5
228|10|6.5
228|10|7
228|10|7
228|10|10
228|10|10.5
228|10|5.5
228|10|8
228|6|14.8
228|6|15.7
228|6|17.5
228|6|15.6
228|6|13.7
228|6|11.7
228|1|11.5
228|1|6.5
228|1|8
228|1|9.5
228|2|11
228|2|13
228|2|12
228|2|14
228|2|14
228|2|13
228|2|17
228|2|12
228|2|11
228|2|16
231|8|9
231|8|5
231|8|10.5
231|8|8
231|8|7
231|8|12.5
231|8|8
231|8|9
231|8|6.5
231|4|10.4
231|4|12.9
231|4|14.2
231|4|16.6
231|3|12
231|3|13.5
231|3|_
231|3|11
231|3|14
231|3|9.5
231|7|8.5
231|7|12
231|7|4
231|7|7
231|7|12.5
231|7|8.5
231|7|5
231|7|5.5
231|9|9.5
231|9|12.5
231|9|12.25
231|9|9.25
231|9|9.5
231|9|11.25
231|9|12.5
231|9|12.75
231|5|9.5
231|5|7
231|5|9.5
231|5|9.5
231|10|13.5
231|10|7.5
231|10|7.5
231|10|9
231|10|7
231|10|9
231|10|7
231|10|8
231|10|8.5
231|6|14.3
231|6|11.1
231|6|14
231|6|18.2
231|6|15.6
231|6|16.7
231|6|13.8
231|1|10.5
231|1|15.5
231|1|12.5
231|1|12.5
231|2|13
231|2|15
231|2|14
231|2|14
231|2|14
231|2|14
231|2|16
231|2|14
231|2|12
231|2|14
246|8|3.5
246|8|5.5
246|8|4.5
246|8|3
246|8|8.5
246|8|5.5
246|8|5.5
246|4|16.1
246|4|17.5
246|4|19.4
246|4|10.3
246|3|13
246|3|15
246|3|9.5
246|3|10
246|3|9.5
246|3|8.5
246|7|7
246|7|3.5
246|7|6.5
246|7|7.5
246|7|6
246|7|7.5
246|7|8
246|7|5.5
246|9|11.75
246|9|14
246|9|10.5
246|9|12.25
246|9|12.75
246|9|10.75
